iter	Passed	Remaining
0	191	190809
1	196	97815
2	200	66617
3	204	51033
4	209	41680
5	214	35521
6	219	31088
7	223	27750
8	229	25227
9	233	23146
10	238	21464
11	243	20069
12	248	18876
13	253	17823
14	257	16895
15	261	16096
16	266	15403
17	271	14829
18	277	14312
19	281	13809
20	284	13277
21	288	12803
22	290	12341
23	292	11897
24	294	11501
25	297	11129
26	299	10793
27	301	10472
28	303	10171
29	305	9883
30	307	9604
31	308	9346
32	310	9102
33	312	8869
34	314	8658
35	315	8446
36	316	8241
37	317	8049
38	319	7865
39	320	7690
40	321	7523
41	322	7360
42	323	7203
43	324	7055
44	325	6913
45	326	6777
46	328	6656
47	329	6532
48	330	6410
49	331	6294
50	332	6182
51	333	6074
52	334	5970
53	335	5869
54	335	5771
55	336	5676
56	337	5585
57	338	5498
58	339	5414
59	340	5333
60	341	5260
61	342	5187
62	343	5112
63	344	5039
64	345	4967
65	346	4898
66	347	4832
67	347	4762
68	348	4698
69	349	4638
70	349	4578
71	350	4520
72	351	4464
73	352	4409
74	353	4355
75	353	4303
76	354	4252
77	355	4205
78	357	4163
79	358	4118
80	358	4072
81	359	4028
82	360	3984
83	361	3941
84	362	3896
85	362	3856
86	363	3813
87	364	3773
88	364	3735
89	365	3698
90	366	3661
91	367	3625
92	368	3590
93	369	3557
94	369	3523
95	371	3496
96	372	3465
97	373	3434
98	373	3403
99	374	3373
100	375	3343
101	376	3310
102	376	3282
103	384	3308
104	390	3324
105	393	3319
106	396	3308
107	399	3298
108	401	3285
109	404	3270
110	406	3253
111	408	3236
112	409	3216
113	411	3196
114	412	3177
115	414	3157
116	416	3142
117	417	3123
118	418	3101
119	420	3081
120	421	3061
121	422	3041
122	423	3017
123	424	2997
124	425	2978
125	426	2958
126	427	2939
127	428	2917
128	429	2898
129	430	2880
130	431	2865
131	433	2847
132	434	2829
133	435	2811
134	436	2794
135	437	2777
136	438	2759
137	438	2741
138	439	2723
139	440	2706
140	441	2689
141	442	2673
142	443	2657
143	444	2641
144	445	2625
145	446	2611
146	447	2596
147	448	2581
148	449	2566
149	450	2550
150	451	2535
151	451	2520
152	452	2505
153	453	2491
154	454	2477
155	455	2462
156	456	2448
157	456	2434
158	457	2420
159	458	2406
160	459	2393
161	460	2381
162	461	2370
163	462	2357
164	463	2344
165	464	2332
166	465	2319
167	465	2307
168	466	2294
169	467	2282
170	468	2270
171	469	2258
172	469	2246
173	470	2235
174	471	2223
175	472	2212
176	473	2201
177	474	2193
178	476	2184
179	477	2173
180	477	2161
181	478	2151
182	479	2141
183	480	2131
184	481	2122
185	482	2112
186	483	2103
187	484	2094
188	485	2084
189	486	2075
190	487	2066
191	490	2064
192	498	2084
193	502	2086
194	505	2086
195	508	2085
196	510	2081
197	512	2076
198	514	2071
199	516	2067
200	519	2064
201	521	2059
202	522	2053
203	524	2047
204	526	2040
205	527	2033
206	528	2026
207	530	2018
208	531	2010
209	532	2003
210	534	1997
211	535	1990
212	536	1982
213	537	1974
214	538	1966
215	539	1958
216	540	1950
217	541	1943
218	542	1935
219	543	1927
220	544	1919
221	545	1912
222	547	1907
223	549	1903
224	550	1896
225	551	1889
226	552	1882
227	555	1879
228	556	1873
229	557	1866
230	558	1859
231	559	1852
232	560	1845
233	561	1838
234	562	1832
235	565	1829
236	567	1825
237	568	1820
238	569	1813
239	570	1806
240	571	1799
241	572	1792
242	573	1785
243	574	1779
244	575	1772
245	576	1766
246	577	1760
247	579	1757
248	581	1754
249	582	1748
250	584	1742
251	585	1736
252	586	1730
253	587	1724
254	588	1718
255	589	1712
256	590	1706
257	591	1700
258	592	1696
259	594	1691
260	595	1685
261	596	1679
262	597	1673
263	598	1667
264	599	1662
265	600	1656
266	601	1650
267	602	1644
268	603	1638
269	603	1632
270	604	1627
271	605	1621
272	607	1616
273	608	1612
