iter	Passed	Remaining
0	120	120699
1	125	62762
2	128	42869
3	130	32473
4	132	26309
5	134	22291
6	141	20028
7	144	17879
8	155	17117
9	159	15809
10	174	15673
11	188	15552
12	200	15237
13	215	15210
14	235	15486
15	247	15209
16	254	14733
17	260	14193
18	262	13555
19	267	13092
20	275	12832
21	277	12341
22	281	11978
23	288	11732
24	291	11376
25	296	11094
26	299	10802
27	301	10478
28	303	10155
29	304	9857
30	306	9584
31	310	9384
32	316	9275
33	318	9041
34	319	8811
35	326	8734
36	331	8634
37	333	8447
38	335	8262
39	339	8159
40	346	8111
41	349	7964
42	353	7867
43	356	7746
44	358	7600
45	362	7513
46	372	7545
47	377	7490
48	385	7474
49	386	7341
50	387	7208
51	389	7106
52	393	7035
53	398	6983
54	399	6869
55	401	6768
56	407	6738
57	411	6678
58	413	6587
59	414	6487
60	424	6538
61	428	6481
62	431	6417
63	434	6356
64	440	6336
65	441	6249
66	442	6162
67	444	6088
68	451	6089
69	455	6045
70	458	6002
71	464	5984
72	468	5948
73	469	5879
74	471	5810
75	483	5880
76	485	5823
77	489	5781
78	492	5737
79	499	5744
80	500	5679
81	501	5614
82	502	5546
83	503	5487
84	516	5555
85	517	5501
86	521	5475
87	528	5477
88	530	5433
89	537	5437
90	540	5395
91	541	5345
92	543	5296
93	544	5245
94	545	5194
95	546	5147
96	548	5106
97	551	5077
98	555	5052
99	558	5025
100	559	4984
101	561	4939
102	564	4913
103	574	4950
104	575	4907
105	576	4864
106	583	4869
107	588	4858
108	589	4819
109	590	4778
110	591	4736
111	594	4717
112	600	4713
113	603	4692
114	604	4655
115	605	4617
116	609	4599
117	614	4596
118	617	4572
119	618	4537
120	619	4501
121	620	4465
122	622	4441
123	630	4453
124	633	4437
125	635	4409
126	639	4393
127	642	4377
128	646	4366
129	648	4338
130	649	4310
131	652	4293
132	656	4279
133	662	4278
134	663	4251
135	665	4225
136	669	4217
137	673	4206
138	677	4195
139	678	4170
140	680	4145
141	683	4130
142	688	4125
143	692	4114
144	693	4091
145	697	4081
146	702	4074
147	706	4068
148	708	4047
149	710	4025
150	717	4032
151	722	4031
152	724	4010
153	730	4014
154	738	4025
155	740	4005
156	746	4006
157	753	4017
158	754	3993
159	755	3968
160	759	3957
161	763	3948
162	768	3945
163	769	3923
164	770	3899
165	774	3888
166	780	3892
167	783	3881
168	785	3860
169	787	3846
170	794	3851
171	798	3841
172	799	3822
173	801	3803
174	807	3807
175	813	3807
176	814	3787
177	815	3765
178	824	3780
179	827	3770
180	828	3750
181	829	3729
182	830	3708
183	834	3701
184	841	3705
185	842	3688
186	844	3670
187	845	3652
188	851	3655
189	856	3652
190	858	3635
191	859	3617
192	861	3600
193	863	3588
194	868	3587
195	872	3577
196	873	3560
197	874	3543
198	876	3526
199	880	3522
200	886	3523
201	887	3507
202	889	3491
203	890	3474
204	898	3485
205	902	3478
206	904	3463
207	905	3448
208	908	3437
209	926	3487
210	933	3491
211	935	3478
212	937	3465
213	945	3474
214	949	3467
215	951	3454
216	982	3543
217	983	3529
218	985	3515
219	989	3507
220	992	3499
221	994	3485
222	996	3472
223	998	3458
224	999	3444
225	1006	3446
226	1008	3433
227	1010	3420
228	1014	3415
229	1019	3413
230	1023	3406
231	1024	3392
232	1026	3378
233	1027	3364
234	1030	3353
235	1036	3356
236	1038	3343
237	1040	3331
238	1043	3322
239	1045	3309
240	1053	3318
241	1055	3306
242	1057	3293
243	1059	3281
244	1060	3268
245	1068	3275
246	1070	3264
247	1072	3251
248	1073	3238
249	1075	3225
250	1076	3212
251	1083	3217
252	1087	3212
253	1089	3199
254	1091	3190
255	1095	3184
256	1100	3180
257	1101	3166
258	1102	3153
259	1103	3141
260	1105	3131
261	1107	3118
262	1111	3114
263	1116	3112
264	1118	3101
265	1119	3089
266	1120	3076
267	1122	3064
268	1130	3071
269	1131	3060
270	1133	3048
271	1134	3036
272	1135	3024
273	1136	3011
274	1137	2999
275	1149	3014
276	1150	3003
277	1152	2993
278	1153	2981
279	1156	2973
280	1162	2973
281	1163	2962
282	1164	2950
283	1165	2938
284	1167	2927
285	1177	2939
286	1178	2928
287	1180	2917
